Brand,Url,,,,,
Toyota,https://www.toyota.ca/en/?utm_source=Google&utm_medium=paidsearch&utm_campaign=TEST_EN_BrandROC_AO_SEM&gclsrc=aw.ds&gad_source=1&gad_campaignid=21861951246&gbraid=0AAAAAD8XTTk19BbMy8yN1Z0zre_6oJHol&gclid=EAIaIQobChMIk_3k9M75jQMVT1n_AR2L4QP-EAAYASAAEgJYf_D_BwE#findDealer,,,,,
Honda,https://www.honda.ca/en/dealerlocator,,,,,
Kia,https://www.kia.ca/en/shopping-tools/find-a-dealer,,,,,
Mercedes-Benz,https://www.mercedes-benz.ca/en/dealers,,,,,
BMW,https://www.bmw.ca/en/fastlane/dealer-locator.html,,,,,
Audi,https://www.audi.ca/en/dealer-search/,,,,,
Subaru,https://www.subaru.ca/WebPage.aspx?WebSiteID=282&WebPageID=4776&keywords=&LanguageCode=en-ca&tpv=y,,,,,
Volkswagen,https://www.vw.ca/en/find-a-dealer.html,,,,,
Crysler/Jeep/Dodge/Ram,https://www.ramtruck.ca/en/dealers,,,,,
Ford,https://www.ford.ca/dealerships/?gnav=header-shop-fd,,,,,
Mazda,https://www.mazda.ca/en/shopping/find-a-retailer/,,,,,
Acura,https://www.acura.ca/en/dealerlocator,,,,,
