Brand,Dealer Name,Address,City,Phone,Website,Validation Status,Last Checked
Toyota,Downtown Toyota,"751 Queen St E, Toronto, ON M4M 1H1",Toronto,(416) 778-8800,https://www.downtowntoyota.ca,OK,2025-06-16
Toyota,Don Valley North Toyota,"3300 Steeles Ave E, Markham, ON L3R 1G9",Markham,(905) 851-1900,https://www.donvalleynorthtoyota.com/,OK,2025-06-16
Toyota,Yorkdale Toyota,"3080 Dufferin St, Toronto, ON M6B 3T5",Toronto,(416) 789-7777,https://www.yorkdaletoyota.com/,OK,2025-06-16
Toyota,Scarboro Toyota,"1897 Eglinton Ave E, Scarborough, ON M1L 2L9",Scarborough,(416) 752-1800,https://www.scarboroughtoyota.ca,OK,2025-06-16
Toyota,Gateway Toyota,"435 The Queensway, Toronto, ON M8Y 1H8",Toronto,(416) 255-9191,https://www.gatewaytoyota.ca,OK,2025-06-16
Toyota,Mississauga Toyota,"2215 Dundas St E, Mississauga, ON L4X 1L9",Mississauga,(905) 624-0300,https://www.mississaugatoyota.com/,OK,2025-06-16
Toyota,Whitby Toyota,"1025 Dundas St W, Whitby, ON L1P 1Z1",Whitby,(905) 668-8777,https://www.whitbytoyota.com,OK,2025-06-16
Toyota,Pickering Toyota,"575 Kingston Rd, Pickering, ON L1V 3N7",Pickering,(905) 420-8222,https://www.pickeringtoyota.com,OK,2025-06-16
Toyota,Stouffville Toyota,"1288 Millard St, Stouffville, ON L4A 1A5",Stouffville,(905) 642-4500,https://www.stouffvilletoyota.com,OK,2025-06-16
Toyota,Newmarket Toyota,"17415 Yonge St, Newmarket, ON L3Y 5H1",Newmarket,(905) 895-1283,https://newmarkettoyota.ca,OK,2025-06-16
Toyota,Richmond Hill Toyota,"11240 Yonge St, Richmond Hill, ON L4S 1K9",Richmond Hill,(905) 883-8812,https://www.richmondhilltoyota.com/,OK,2025-06-16
Toyota,Bolton Toyota,"12050 Albion Vaughan Rd, Bolton, ON L7E 1S7",Bolton,(905) 857-4100,https://www.boltontoyota.com,OK,2025-06-16
Toyota,Brampton East Toyota,"2 Coachworks Cres, Brampton, ON L6T 5T1",Brampton,(905) 791-1411,https://www.bramptoneasttoyota.ca,OK,2025-06-16
Toyota,Oakville Toyota,"2380 Wyecroft Rd, Oakville, ON L6L 6M1",Oakville,(905) 827-6771,https://www.oakvilletoyota.ca,OK,2025-06-16
Toyota,Maple Toyota,"88 Auto Vaughan Dr, Maple, ON L6A 4A1",Maple,,https://www.mapletoyota.com/,OK,
Toyota,Thornhill Toyota,"7080 Dufferin St, Concord, ON L4K 0A1",Vaughan,,https://www.thornhilltoyota.com/,OK,
Toyota,Woodbridge Toyota,"7685 Martin Grove Rd, Woodbridge, ON L4L 1B5",Woodbridge,,https://www.woodbridgetoyota.ca/,OK,
Toyota,Woodbine Toyota,"80 Queens Plate Dr, Etobicoke, ON M9W 7K2",Etobicoke,,https://www.woodbinetoyota.ca/,OK,
Toyota,Ken Shaw Toyota,"2336 St Clair Ave W, Toronto, ON M6N 1K8",Toronto,,https://www.kenshawtoyota.ca/,OK,
Toyota,Dixie Toyota,"1600 Toyo Cir, Mississauga, ON L4W 0E7",Mississauga,,https://dixietoyota.com/,OK,
Toyota,Aurora Toyota,"669 Wellington St E, Aurora, ON L4G 0C9",Aurora,,https://www.auroratoyota.ca/,OK,
Toyota,Markville Toyota,"5362 Hwy 7, Markham, ON L3P 1B9",Markham,,https://www.markville.com/,OK,
Toyota,Toyota On the Park,"1077 Leslie Street, Toronto, ON, M3C 2J7",Toronto,,https://www.toyotaonthepark.ca/,OK,
Toyota,Attrell Toyota,"110 Canam Crescent, Brampton, ON L7A 1A9",Brampton,,https://www.attrelltoyota.com/,OK,
Toyota,Meadowvale Toyota,"2950 Argentia Rd, Mississauga, ON L5N 8C5",Mississauga,,https://meadowvaletoyota.com/,OK,
Toyota,Scarborough Toyota,"1897 Eglinton Ave E, Scarborough, ON M1L 2L8",Scarborough,,https://www.scarboroughtoyota.ca/,OK,
Toyota,Brimell Toyota,"5060 Sheppard Ave E, Scarborough, ON M1S 4N3",Scarborough,,https://www.brimelltoyota.com/en,OK,
Toyota,Milton Toyota,"1245 Steeles Ave E, Milton, ON L9T 0K2",Milton,,https://www.miltontoyota.com/,OK,
Toyota,Erin Park Toyota,"2411 Motorway Blvd, Mississauga, ON L5L 3R2",Mississauga,,https://www.erinparktoyota.com/en,OK,
Lexus,Lexus Downtown,"777 Dundas St E, Toronto, ON M5A 2B7",Toronto,(416) 923-5777,https://www.lexusdowntown.ca,OK,2025-06-16
Lexus,Lexus of Oakville,"1453 North Service Rd E, Oakville, ON L6H 1A7",Oakville,(905) 847-8400,https://www.lexuslexus.com,OK,2025-06-16
Lexus,Lexus of Richmond Hill,"11552 Yonge St, Richmond Hill, ON L4E 3N7",Richmond Hill,(905) 883-8812,https://www.lexusofrichmondhill.com/,OK,2025-06-16
Lexus,Erin Park Lexus,"2541 Motorway Blvd, Mississauga, ON L5L 1W8",Mississauga,(905) 828-7727,https://www.erinparklexus.ca,OK,2025-06-16
Lexus,Ken Shaw Lexus,"8111 Kennedy Rd, Markham, ON L3R 5K5",Markham,(905) 305-3777,https://www.kenshawlexus.com/,OK,2025-06-16
Lexus,Lexus of Vaughan,"110 Auto Park Circle, Woodbridge, ON L4L 8R1",Woodbridge,(416) 748-8668,https://www.lexusofvaughan.com/,OK,2025-06-16
Lexus,Don Valley North Lexus,"3120 Steeles Ave E, Markham, ON L3R 4G9",Markham,(905) 305-3600,https://www.donvalleynorthlexus.com/,OK,2025-06-16
Lexus,NORTHWEST LEXUS,"2280 Queen St E, Brampton, ON L6S 5X9",Brampton,,https://www.northwestlexus.com/,OK,
Lexus,LEXUS ON THE PARK,"1075 Leslie St, North York, ON M3C 2J7",North York,,https://www.lexusonthepark.ca/,OK,
Honda,Downtown Honda,"650 Evans Ave, Toronto, ON M9C 1A1",Toronto,(416) 622-6666,https://hondadowntown.ca,OK,2025-06-16
Honda,Maple Honda,"89 Auto Vaughan Dr, Vaughan, ON L6A 4A1",Vaughan,,https://www.maplehonda.com/,OK,
Honda,Midtown Honda,"3400 Dufferin St, North York, ON M6A 2V1",North York,,https://www.midtownhonda.com/,OK,2025-06-16
Honda,Number 7 Honda,"5555 Hwy 7 W, Woodbridge, ON L4L 1T5",Woodbridge,,https://www.number7honda.com/,OK,
Honda,Bolton Honda,"65 Pillsworth Rd, Bolton, ON L7E 4E9",Bolton,,https://www.boltonhonda.ca/,OK,
Honda,Parkway Honda,"1681 Eglinton Ave E, North York, ON M4A 1J6",North York,(905) 688-3330,https://www.parkwayhonda.com,OK,2025-06-16
Honda,Roadsport Honda,"940 Ellesmere Road, Toronto, ON M1P 2W8",Scarborough,(416) 291-9501,https://www.roadsport.com,OK,2025-06-16
Honda,Formula Honda ,"2240 Markham Rd, Scarborough, ON M1B 2W4",Scarborough,(416) 754-4555,https://www.formulahonda.com,OK,2025-06-16
Honda,Action Honda,"4334 Kingston Road, Scarborough, ON M1E 2M8",Scarborough,(866) 979-3747,https://www.myactionhonda.com,OK,
Honda,Whitby Oshawa Honda,"1425 Dundas St E, Whitby, ON L1N 2K9",Whitby,(905) 668-3330,https://www.whitbyoshawahonda.ca,OK,2025-06-16
Honda,Mississauga Honda,"3240 Mavis Rd, Mississauga, ON L5C 3C7",Mississauga,(905) 275-5100,https://www.mississaugahonda.com,OK,2025-06-16
Honda,Classic Honda,"30 Van Kirk Drive, Brampton, ON L7A 2Y4",Brampton,(905) 454-1434,https://www.classichonda.ca,OK,2025-06-16
Honda,OpenRoad Honda,"4 Maritime Ontario Blvd, Brampton, ON L6S 0C2",Brampton,(905) 595-4500,https://openroadhondabrampton.ca,OK,
Honda ,Performance Honda,"30 Ace Drive, Brampton, ON L6R 3Y2",Brampton,(905) 460-3760,https://www.performancehondamayfield.ca,OK,
Honda,Ideal Honda,"1700 Toyo Circle, Mississauga, ON L4W 0E7",Mississauga,(905) 238-9753,https://idealhonda.com/,OK,
Honda,Newroads Honda,"75 Mulock Dr, Newmarket, ON L3Y 4W3",Newmarket,,https://www.newroadshonda.com/,OK,
Honda,Team Honda,"170 Steels Ave East, Milton, ON L9T 2Y5",Milton,(905) 864-8588,https://www.teamhonda.ca,OK,2025-06-16
Honda,Markham Honda,"5930 Markham Rd, Scarborough, ON M1X 1B7",Scarborough,(416) 299-3232,https://www.markhamhonda.com,OK,2025-06-16
Honda,Richmond Hill Honda,"77 16th Ave, Richmond Hill, ON L4C 7A5",Richmond Hill,(905) 731-8899,https://www.richmondhillhonda.com,OK,2025-06-16
Honda,Pickering Honda,"575 Kingston Rd, Pickering, ON L1V 1A3",Pickering,(905) 831-5400,https://www.pickeringhonda.com,OK,2025-06-16
Acura,Acura Sherway,"2000 The Queensway, Etobicoke, ON M9C 5H5",Etobicoke,,https://acurasherway.com/,OK,
Acura,Acura Pickering,"575 Kingston Road, Pickering, ON L1V 3N7",Pickering,,https://www.acurapickering.com/en,OK,
Acura,Erin Mills Acura,"3025 Woodchester Dr, Mississauga, ON L5L 3V3",Mississauga,,https://www.erinmillsacura.ca/,OK,
Acura,Performance Acura No,"860 Ivandale Drive, Mississauga, ON L5V 2Y6",Mississauga,,https://www.acuranorthmississauga.ca/,OK,
Acura,Sterne Acura,"625 St.John'S Sideroad East, Aurora, ON L4G 0Z7",Aurora,,https://www.sterneacura.com/,OK,
Acura,Maple Acura,"111 Auto Vaughan Dr, Maple, ON L6A 4A1",Maple,,https://www.mapleacura.com/,OK,
Acura,Acura Downtown,"832 Dupont St, Toronto, ON M6G 1Z7",Toronto,(416) 532-1550,https://acuradowntown.ca,OK,2025-06-16
Acura,Acura of Thornhill,"88 Steels Ave West, Thornhill, ON L4J 1A1",Thornhill,(416) 748-6208,https://www.acuraofnorthtoronto.ca,OK,2025-06-16
Acura,Markham Acura,"5201 Highway 7 East, Markham, ON L3R 1N3",Markham,(833) 942-1581,https://www.markhamacura.ca,OK,2025-06-16
Acura,Acura of Oakville,"252 Wyecroft Rd, Oakville, ON L6K 2G7",Oakville,(905) 339-9333,https://www.acuraofoakville.com,OK,2025-06-16
Acura,Policaro Acura,"2 Coachworks Cres, Brampton, ON L6T 5T1",Brampton,(905) 456-1999,https://policaroacura.ca,OK,2025-06-16
BMW,BMW Toronto,"11 Sunlight Park Rd, Toronto, ON M4M 1B5",Toronto,(416) 462-0553,https://bmwtoronto.ca,OK,2025-06-16
BMW,Parkview BMW,"1155 Leslie St, North York, ON M3C 2J6",Toronto,(416) 444-4269,https://www.parkviewbmw.com/,OK,2025-06-16
BMW,Budds BMW Oakville,"2454 South Service Rd W, Oakville, ON L6L 5M9",Oakville,(905) 845-3577,https://www.buddsbmw.com/,OK,2025-06-16
BMW,Pfaff BMW,"4505 Dixie Rd, Mississauga, ON L4W 5K3",Mississauga,(905) 625-7533,https://bmwmississauga.ca,OK,2025-06-16
BMW,Policaro BMW,"5 Coachworks Cres, Brampton, ON L6R 3Y2",Brampton,(416) 981-9400,https://www.policarobmw.ca/,OK,2025-06-16
BMW,BMW Durham,"1200 Lawrence Ave E, North York, ON M3A 1A1",North York,(416) 444-4269,https://www.bmwdurham.ca,OK,2025-06-16
BMW,BMW Autohaus,"95 Norfinch Dr, North York, ON M3N 1W8",North York,(416) 749-9266,https://www.bmwautohaus.ca,OK,2025-06-16
Mercedes-Benz,Mercedes-Benz Toronto Downtown,"761 Dundas St E, Toronto, ON M5A 1Z8",Toronto,(416) 922-6330,https://www.mercedes-benz-downtown-toronto.ca/,OK,2025-06-16
Mercedes-Benz,Mercedes-Benz Toronto Queensway,"1631 The Queensway, Etobicoke, ON M8Z 5Y4",Toronto,(416) 255-1132,https://www.mercedes-benz-toronto-queensway.ca/,OK,2025-06-16
Mercedes-Benz,Mercedes-Benz Newmarket,"230 Mulock Dr, Newmarket, ON L3Y 9B8",Newmarket,(905) 853-6868,https://www.mercedes-benz-newmarket.ca/,OK,2025-06-16
Mercedes-Benz,Mercedes-Benz Thornhill,"8080 Yonge St, Thornhill, ON L3T 2C7",Thornhill,(905) 886-6286,https://www.mercedes-benz-thornhill.ca/,OK,2025-06-16
Mercedes-Benz,Mercedes-Benz Oakville,"1345 North Service Rd E, Oakville, ON L6H 1A7",Oakville,(905) 338-4181,https://www.mercedes-benz-oakville.ca/,OK,2025-06-16
Mercedes-Benz,Mercedes-Benz Mississauga,,Mississauga,(905) 607-7111,https://www.mercedes-benz-mississauga.ca/,OK,2025-06-16
Mercedes-Benz,Mercedes-Benz Brampton,,Brampton,(905) 451-0150,https://www.mbbrampton.ca,OK,2025-06-16
Audi,Audi Downtown Toronto,,Toronto,(416) 862-8834,https://www.audidowntowntoronto.com/,OK,2025-06-16
Audi,Audi Midtown Toronto,,Toronto,,https://www.audimidtowntoronto.com/,OK,
Audi,Audi Uptown,"4080 Yonge St, Toronto, ON M2P 2C3",Toronto,(416) 481-9233,https://www.audiuptown.com/,OK,2025-06-16
Audi,Queensway Audi,"1325 The Queensway, Toronto, ON M8Z 1W8",Toronto,(416) 233-0033,https://www.audiqueensway.ca/,OK,2025-06-16
Audi,Audi Oakville,"2435 Wyecroft Rd, Oakville, ON L6L 6L5",Oakville,(905) 825-3994,https://www.audioakville.com/,OK,2025-06-16
Audi,Audi Vaughan,,Vaughan,,https://www.audivaughan.com/,OK,2025-06-16
Audi,Audi Brampton,,Brampton,,https://www.audibrampton.com/,OK,2025-06-16
Audi,Audi Mississauga,,Mississauga,,https://www.audimississauga.com/,OK,
Ford,Yorkdale Ford,,North York,,https://yorkdaleford.com/,OK,2025-06-16
